0,6; 1.81455932339, -2.31417306278, -0.311781262263, 1.82455932339, -2.30417306278, -0.301781262263, 1.80455932339, -2.32417306278, -0.321781262263; 0, 14,1,1; 0.5421420217985259; 0; 0,3,1; 1 2 1/2 2 1/3 2 1/4 1 1/4 2 1/; 10422141132121444432; 1.12499330579; 2212; 0.975; 1.81455932339/-2.31417306278/-5; 0/0/0; 0;

0,6; 1.85288747192, -2.31037976936, 1.15036607991, 1.86288747192, -2.30037976936, 1.16036607991, 1.84288747192, -2.32037976936, 1.14036607991; 0, 19,1,1; 0.4421712358573757; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 02442233324231242113; 0.803122023287; 2212; 0.975; 1.85288747192/-2.31037976936/-5; 0/0/0; 0;

2,0; -2.49109449396, 2.75721496237, 1.01203115361, -2.48109449396, 2.76721496237, 1.02203115361, -2.50109449396, 2.74721496237, 1.00203115361; 0, 33,1,1; 0.7585641878515872; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 01111221422444141222; 1.37874561204; 2212; 0.975; -2.49109449396/2.75721496237/-5; 0/0/0; 0;

0,0; -2.43463652375, 2.70883597832, -0.642577553075, -2.42463652375, 2.71883597832, -0.632577553075, -2.44463652375, 2.69883597832, -0.652577553075; 0, 33,1,1; 0.0011916471667240323; 0; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 01214423213142431412; 0.451511575509; 2212; 0.975; -2.43463652375/2.70883597832/-5; 0/0/0; 0;

1,1; -1.74558681879, 1.31550685773, 3.40127416949, -1.73558681879, 1.32550685773, 3.41127416949, -1.75558681879, 1.30550685773, 3.39127416949; 0, 12,1,1; 0.7802279139807304; 1; 0,3,1; 1 6 1/2 6 1/3 6 1/4 1 1/4 6 1/; 42433023314123121123; 0.230773431208; 2212; 0.975; -1.74558681879/1.31550685773/-5; 0/0/0; 0;

1,2; -2.71691390274, 2.6170175433, 0.156240162777, -2.70691390274, 2.6270175433, 0.166240162777, -2.72691390274, 2.6070175433, 0.146240162777; 0, 33,1,1; 0.24857991373427274; 1; 0,5,1; 1 1 1/1 2 1/1 4 1/2 1 1/2 2 1/3 1 1/3 2 1/4 1 1/4 2 1/; 00441244231344234231; 0.520904919834; 2212; 0.975; -2.71691390274/2.6170175433/-5; 0/0/0; 0;

0,2; -2.70320475614, 2.614045594, -1.52829398568, -2.69320475614, 2.624045594, -1.51829398568, -2.71320475614, 2.604045594, -1.53829398568; 0, 17,1,1; 0.16816006216593643; 1; 0,7,1; 1 1 1/1 2 1/1 3 1/1 11 1/2 1 1/2 2 1/2 3 1/3 1 1/3 2 1/3 3 1/4 1 1/4 2 1/4 3 1/; 00033424434413244442; 1.30587912798; 2212; 0.975; -2.70320475614/2.614045594/-5; 0/0/0; 0;

0,2; -2.70952465558, 2.622416485, 1.77394350447, -2.69952465558, 2.632416485, 1.78394350447, -2.71952465558, 2.612416485, 1.76394350447; 0, 33,1,1; 0.9986413813022436; 0; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 03312324421422144323; 0.0248801031884; 2212; 0.975; -2.70952465558/2.622416485/-5; 0/0/0; 0;

1,3; -0.0358393669502, 1.61466766747, -2.49687586453, -0.0258393669502, 1.62466766747, -2.48687586453, -0.0458393669502, 1.60466766747, -2.50687586453; 0, 11,1,1; 0.773358980623137; 0; 0,7,1; 1 1 1/1 2 1/1 3 1/2 1 1/2 2 1/2 3 1/3 1 1/3 2 1/3 3 1/4 1 1/4 2 1/4 3 1/4 7 1/; 00032323232324414432; 0.355194048952; 2212; 0.975; -0.0358393669502/1.61466766747/-5; 0/0/0; 0;

0,3; -0.035661397631, 1.61926159206, 2.33582638884, -0.025661397631, 1.62926159206, 2.34582638884, -0.045661397631, 1.60926159206, 2.32582638884; 0, 44,1,1; 0.08449840559248817; 0; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 01343432441432312421; 1.40690640282; 2212; 0.975; -0.035661397631/1.61926159206/-5; 0/0/0; 0;

0,3; -0.0367146690431, 1.61350275622, -0.447600595335, -0.0267146690431, 1.62350275622, -0.437600595335, -0.0467146690431, 1.60350275622, -0.457600595335; 0, 36,1,1; 0.6902883241933788; 0; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 01212444111322224331; 1.76154637338; 2212; 0.975; -0.0367146690431/1.61350275622/-5; 0/0/0; 0;

1,4; 1.23032278546, -1.26886496727, 1.63493577607, 1.24032278546, -1.25886496727, 1.64493577607, 1.22032278546, -1.27886496727, 1.62493577607; 0, 2,1,1; 0.8084485734816653; 1; 0,5,1; 1 7 1/1 8 1/2 7 1/2 8 1/3 7 1/3 8 1/4 1 1/4 7 1/4 8 1/; 32424200314314224223; 1.41459251194; 2212; 0.975; 1.23032278546/-1.26886496727/-5; 0/0/0; 0;

0,4; 1.22654658577, -1.26617357345, 0.378934461215, 1.23654658577, -1.25617357345, 0.388934461215, 1.21654658577, -1.27617357345, 0.368934461215; 0, 2,1,1; 0.10296467213759447; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 04441431332311134422; 1.5995742964; 2212; 0.975; 1.22654658577/-1.26617357345/-5; 0/0/0; 0;

0,4; 1.22922398859, -1.2718045516, 2.98215539763, 1.23922398859, -1.2618045516, 2.99215539763, 1.21922398859, -1.2818045516, 2.97215539763; 0, 30,1,1; 0.3188779840219593; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 04314131434223413442; 0.270524688426; 2212; 0.975; 1.22922398859/-1.2718045516/-5; 0/0/0; 0;

1,5; -3.24512771143, 1.21779728949, -0.989420602322, -3.23512771143, 1.22779728949, -0.979420602322, -3.25512771143, 1.20779728949, -0.999420602322; 0, 34,1,1; 0.49149613680607535; 0; 0,7,1; 1 1 1/1 2 1/1 3 1/1 7 1/2 1 1/2 2 1/2 3 1/3 1 1/3 2 1/3 3 1/4 1 1/4 2 1/4 3 1/; 00022443221423443231; 1.23912407726; 2212; 0.975; -3.24512771143/1.21779728949/-5; 0/0/0; 0;

0,5; -3.24271654502, 1.1942733298, 1.56462805357, -3.23271654502, 1.2042733298, 1.57462805357, -3.25271654502, 1.1842733298, 1.55462805357; 0, 42,1,1; 0.9506282442688527; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 03432321421434334434; 1.03627026098; 2212; 0.975; -3.24271654502/1.1942733298/-5; 0/0/0; 0;

0,5; -3.2428474764, 1.20650648393, -2.19620933541, -3.2328474764, 1.21650648393, -2.18620933541, -3.2528474764, 1.19650648393, -2.20620933541; 0, 34,1,1; 0.0011895675726135617; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 01313134121324113134; 1.15569670181; 2212; 0.975; -3.2428474764/1.20650648393/-5; 0/0/0; 0;

1,6; 1.21541157516, -3.42294107433, -1.34467210636, 1.22541157516, -3.41294107433, -1.33467210636, 1.20541157516, -3.43294107433, -1.35467210636; 0, 18,1,1; 0.051334733111365494; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 01323244234142431132; 0.590855619707; 2212; 0.975; 1.21541157516/-3.42294107433/-5; 0/0/0; 0;

0,6; 1.21927629761, -3.42197848078, 1.47047483337, 1.22927629761, -3.41197848078, 1.48047483337, 1.20927629761, -3.43197848078, 1.46047483337; 0, 19,1,1; 0.6395142117731737; 0; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 04431243134111441222; 1.49827282079; 2212; 0.975; 1.21927629761/-3.42197848078/-5; 0/0/0; 0;

1,7; 1.38737864272, 2.52522655049, 0.719694405743, 1.39737864272, 2.53522655049, 0.729694405743, 1.37737864272, 2.51522655049, 0.709694405743; 0, 23,1,1; 0.3729514417284344; 0; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 02324333112344142344; 1.4756887247; 2212; 0.975; 1.38737864272/2.52522655049/-5; 0/0/0; 0;

0,7; 1.40597848087, 2.48360324242, -2.68292292245, 1.41597848087, 2.49360324242, -2.67292292245, 1.39597848087, 2.47360324242, -2.69292292245; 0, 39,1,1; 0.6181074843720313; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 01144341314242222234; 0.89454833492; 2212; 0.975; 1.40597848087/2.48360324242/-5; 0/0/0; 0;

1,8; 1.14748893872, 2.23759739643, 0.260783924345, 1.15748893872, 2.24759739643, 0.270783924345, 1.13748893872, 2.22759739643, 0.250783924345; 0, 31,1,1; 0.177136947221591; 0; 0,3,1; 1 1 1/1 10 1/2 1 1/3 1 1/4 1 1/; 03141413441212214132; 0.742602777032; 2212; 0.975; 1.14748893872/2.23759739643/-5; 0/0/0; 0;

0,8; 1.14207292639, 2.24134074711, -1.10829037993, 1.15207292639, 2.25134074711, -1.09829037993, 1.13207292639, 2.23134074711, -1.11829037993; 0, 45,1,1; 0.3045952797481476; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 03211443314132421234; 1.65297639804; 2212; 0.975; 1.14207292639/2.24134074711/-5; 0/0/0; 0;

0,8; 1.14874646306, 2.23827713696, 0.663632772051, 1.15874646306, 2.24827713696, 0.673632772051, 1.13874646306, 2.22827713696, 0.653632772051; 0, 31,1,1; 0.40334626681104124; 1; 0,3,1; 1 1 1/1 9 1/2 9 1/3 9 1/4 9 1/; 14421144044333221312; 0.715526445452; 2212; 0.975; 1.14874646306/2.23827713696/-5; 0/0/0; 0;

0,8; 1.13110398366, 2.24245994261, -1.2022039072, 1.14110398366, 2.25245994261, -1.1922039072, 1.12110398366, 2.23245994261, -1.2122039072; 0, 45,1,1; 0.2516690636725612; 1; 0,5,1; 1 1 1/1 2 1/1 11 1/2 1 1/2 2 1/3 1 1/3 2 1/4 1 1/4 2 1/; 00314432332323233311; 1.81261133219; 2212; 0.975; 1.13110398366/2.24245994261/-5; 0/0/0; 0;

0,8; 1.15654535688, 2.2424811076, 0.75905724003, 1.16654535688, 2.2524811076, 0.76905724003, 1.14654535688, 2.2324811076, 0.74905724003; 0, 31,1,1; 0.46219366121458344; 0; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 04423312212411224431; 0.297357308477; 2212; 0.975; 1.15654535688/2.2424811076/-5; 0/0/0; 0;

1,9; -1.18825565271, 1.28602402224, -3.92475328184, -1.17825565271, 1.29602402224, -3.91475328184, -1.19825565271, 1.27602402224, -3.93475328184; 0, 37,1,1; 0.051414718932207226; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 02212311214223134313; 1.95352217089; 2212; 0.975; -1.18825565271/1.28602402224/-5; 0/0/0; 0;

0,9; -1.20316172041, 1.30550858334, 0.424930086257, -1.19316172041, 1.31550858334, 0.434930086257, -1.21316172041, 1.29550858334, 0.414930086257; 0, 7,1,1; 0.24836723851527792; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 02431334113214144413; 0.749134335807; 2212; 0.975; -1.20316172041/1.30550858334/-5; 0/0/0; 0;

0,9; -1.19381824821, 1.29706524517, 3.57375470368, -1.18381824821, 1.30706524517, 3.58375470368, -1.20381824821, 1.28706524517, 3.56375470368; 0, 8,1,1; 0.8442378361522614; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 01144331134212144441; 1.27021512091; 2212; 0.975; -1.19381824821/1.29706524517/-5; 0/0/0; 0;

1,10; -2.4014222518, 2.44073661358, 2.04498836196, -2.3914222518, 2.45073661358, 2.05498836196, -2.4114222518, 2.43073661358, 2.03498836196; 0, 33,1,1; 0.9996954997088673; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 03132211332223234331; 0.654983745555; 2212; 0.975; -2.4014222518/2.44073661358/-5; 0/0/0; 0;

0,10; -2.39942834505, 2.44332903521, -1.73928185031, -2.38942834505, 2.45332903521, -1.72928185031, -2.40942834505, 2.43332903521, -1.74928185031; 0, 17,1,1; 0.0793849491035134; 1; 0,9,1; 1 1 1/1 2 1/1 3 1/1 4 1/2 1 1/2 2 1/2 3 1/2 4 1/3 1 1/3 2 1/3 3 1/3 4 1/4 1 1/4 2 1/4 3 1/4 4 1/4 14 1/; 00002111421114421443; 0.837617513881; 2212; 0.975; -2.39942834505/2.44332903521/-5; 0/0/0; 0;

0,10; -2.40449164156, 2.44933464215, -0.354898000974, -2.39449164156, 2.45933464215, -0.344898000974, -2.41449164156, 2.43933464215, -0.364898000974; 0, 33,1,1; 0.03560362289367153; 0; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 01231113131321241322; 0.599216340172; 2212; 0.975; -2.40449164156/2.44933464215/-5; 0/0/0; 0;

1,11; 2.43185809891, 1.90657040736, 2.81178849866, 2.44185809891, 1.91657040736, 2.82178849866, 2.42185809891, 1.89657040736, 2.80178849866; 0, 21,1,1; 0.28505735567110135; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 02143221131112433332; 1.33577509622; 2212; 0.975; 2.43185809891/1.90657040736/-5; 0/0/0; 0;

0,11; 2.43102944719, 1.90237841632, 1.81965162009, 2.44102944719, 1.91237841632, 1.82965162009, 2.42102944719, 1.89237841632, 1.80965162009; 0, 23,1,1; 0.9541165469338142; 0; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 04244412123123322444; 1.030738378; 2212; 0.975; 2.43102944719/1.90237841632/-5; 0/0/0; 0;

2,0; 1.76561064639, 2.66116334703, 1.46225388776, 1.77561064639, 2.67116334703, 1.47225388776, 1.75561064639, 2.65116334703, 1.45225388776; 0, 23,1,1; 0.8116107915507516; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 01221234414423443132; 1.01539727421; 2212; 0.975; 1.76561064639/2.66116334703/-5; 0/0/0; 0;

0,0; 1.76193388327, 2.66145741963, 2.48556819592, 1.77193388327, 2.67145741963, 2.49556819592, 1.75193388327, 2.65145741963, 2.47556819592; 0, 23,1,1; 0.9998169172265671; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 01411413242212314144; 1.05496081447; 2212; 0.975; 1.76193388327/2.66145741963/-5; 0/0/0; 0;

0,0; 1.80276810708, 2.69142355185, 0.670363054837, 1.81276810708, 2.70142355185, 0.680363054837, 1.79276810708, 2.68142355185, 0.660363054837; 0, 23,1,1; 0.343394462897285; 1; 0,5,1; 1 1 1/1 3 1/1 4 1/2 3 1/2 4 1/3 3 1/3 4 1/4 3 1/4 4 1/; 14002321321213423312; 1.52570562629; 2212; 0.975; 1.80276810708/2.69142355185/-5; 0/0/0; 0;

0,0; 1.76624258329, 2.65168519878, 0.453730434024, 1.77624258329, 2.66168519878, 0.463730434024, 1.75624258329, 2.64168519878, 0.443730434024; 0, 23,1,1; 0.22127508633272797; 0; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 01242434113332442223; 1.30871349877; 2212; 0.975; 1.76624258329/2.65168519878/-5; 0/0/0; 0;

1,1; -2.64166377829, 2.56739361427, -1.3115833608, -2.63166377829, 2.57739361427, -1.3015833608, -2.65166377829, 2.55739361427, -1.3215833608; 0, 17,1,1; 0.28217900657138606; 0; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 04224334331233214343; 1.25094152163; 2212; 0.975; -2.64166377829/2.56739361427/-5; 0/0/0; 0;

0,1; -2.64120217082, 2.5675424086, 2.03543270644, -2.63120217082, 2.5775424086, 2.04543270644, -2.65120217082, 2.5575424086, 2.02543270644; 0, 33,1,1; 0.9996790139867586; 0; 0,3,1; 1 1 1/1 9 1/2 9 1/3 9 1/4 9 1/; 31322413011221414443; 1.38578047696; 2212; 0.975; -2.64120217082/2.5675424086/-5; 0/0/0; 0;

0,1; -2.64584734609, 2.56503835191, -1.545312479, -2.63584734609, 2.57503835191, -1.535312479, -2.65584734609, 2.55503835191, -1.555312479; 0, 17,1,1; 0.1600760083997388; 1; 0,9,1; 1 1 1/1 4 1/1 5 1/1 6 1/1 7 1/2 4 1/2 5 1/2 6 1/2 7 1/3 4 1/3 5 1/3 6 1/3 7 1/4 4 1/4 5 1/4 6 1/4 7 1/; 44300003343144144121; 0.770160863294; 2212; 0.975; -2.64584734609/2.56503835191/-5; 0/0/0; 0;

0,1; -2.6408435266, 2.56025590548, -1.0070362407, -2.6308435266, 2.57025590548, -0.997036240697, -2.6508435266, 2.55025590548, -1.0170362407; 0, 33,1,1; 0.00015951021366519054; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 01143131243443334242; 1.19470114368; 2212; 0.975; -2.6408435266/2.56025590548/-5; 0/0/0; 0;

